time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-07-08T11:44:34.420Z,35.256,-116.948,3.933,2.51,mc,0,111.9,0.125,0.238,ci,ci3038348,2016-02-10T14:45:46.787Z,"24km W of Fort Irwin, California",earthquake,,1.979,,31,reviewed,ci,ci
1992-07-08T11:38:38.920Z,33.485,-118.079,5.794,3.7,ml,0,103.4,,0.377,ci,ci3038347,2016-02-10T07:44:22.635Z,"20km SW of Newport Beach, California",earthquake,,,,31,reviewed,ci,ci
1992-07-08T11:24:39.640Z,34.225,-116.87,1.619,2.7,mc,0,58,,0.172,ci,ci3117453,2016-02-10T11:19:20.592Z,"4km ESE of Big Bear Lake, California",earthquake,,0.223,,76,reviewed,ci,ci
1992-07-08T11:09:04.370Z,34.365,-116.489,4.497,2.6,mc,0,120.6,,0.259,ci,ci3038336,2016-02-10T00:36:40.210Z,"28km N of Yucca Valley, California",earthquake,,,,52,reviewed,ci,ci
1992-07-08T10:56:02.070Z,34.075,-116.382,2.479,2.82,mc,0,35.5,,0.194,ci,ci3117402,2016-02-09T20:53:42.341Z,"6km SE of Yucca Valley, California",earthquake,,0.293,,57,reviewed,ci,ci
1992-07-08T10:55:28.540Z,34.249,-116.431,-0.712,2.5,mc,0,59.7,,0.188,ci,ci3117401,2016-02-10T14:45:42.336Z,"15km N of Yucca Valley, California",earthquake,,0.574,,52,reviewed,ci,ci
1992-07-08T10:52:57.690Z,37.6383333,-118.8406667,6.304,2.67,md,35,69,0.003604,0.04,nc,nc303239,2016-12-19T14:30:09.730Z,"Long Valley area, California",earthquake,0.23,0.39,0.2,47,reviewed,nc,nc
1992-07-08T10:32:08.410Z,33.99,-116.947,3.605,2.75,mc,0,36.2,,0.183,ci,ci3117381,2016-02-10T14:45:37.193Z,"7km NNE of Beaumont, California",earthquake,,0.088,,73,reviewed,ci,ci
1992-07-08T10:26:51.650Z,35.079,-116.995,-0.853,2.59,mc,0,68.4,0.1143,0.251,ci,ci3038315,2016-02-10T00:36:37.622Z,"20km N of Barstow, California",earthquake,,0.692,,55,reviewed,ci,ci
1992-07-08T10:18:44.010Z,33.117,-115.615,10.1,2.55,mc,0,81.2,0.07159,0.277,ci,ci3038312,2016-02-09T20:53:34.977Z,"9km N of Westmorland, California",earthquake,,1.58,,26,reviewed,ci,ci
1992-07-08T09:49:42.150Z,34.179,-116.829,1.233,2.65,mc,0,26.2,,0.18,ci,ci3130570,2016-02-10T00:36:30.821Z,"9km S of Big Bear City, California",earthquake,,0.191,,73,reviewed,ci,ci
1992-07-08T08:05:38.730Z,34.604,-116.351,9.29,4.32,ml,0,60.2,,0.286,ci,ci3038252,2016-02-10T18:19:03.105Z,"22km SW of Ludlow, California",earthquake,,0.961,,31,reviewed,ci,ci
1992-07-08T07:58:28.200Z,34.149,-116.427,4.1,3.04,ml,0,42.6,,0.146,ci,ci3038251,2016-02-10T11:19:04.630Z,"4km N of Yucca Valley, California",earthquake,,9.757,,26,reviewed,ci,ci
1992-07-08T07:20:55.670Z,38.0128333,-118.7171667,1.899,3.11,md,50,206,0.2,0.07,nc,nc303229,2016-12-19T14:29:19.240Z,"Central California",earthquake,0.43,2.31,0.14,58,reviewed,nc,nc
1992-07-08T07:19:24.560Z,37.9593333,-122.0106667,12.341,2.61,md,57,75,0.07117,0.12,nc,nc303228,2016-12-19T14:29:08.530Z,"San Francisco Bay area, California",earthquake,0.15,0.27,0.13,53,reviewed,nc,nc
1992-07-08T07:14:38.090Z,33.185,-115.594,3.97,2.56,ml,0,46.3,0.07202,0.247,ci,ci3039735,2016-02-10T00:36:18.880Z,"9km SW of Niland, California",earthquake,,0.265,,3,reviewed,ci,ci
1992-07-08T06:47:42.350Z,34.5,-116.52,0.334,2.94,mc,0,67.2,,0.193,ci,ci3104600,2016-02-10T11:18:59.477Z,"40km NE of Big Bear City, California",earthquake,,0.415,,70,reviewed,ci,ci
1992-07-08T06:47:21.260Z,34.011,-116.334,10.265,2.75,mc,0,107.4,0.08375,0.161,ci,ci3104599,2016-02-10T21:58:47.496Z,"14km S of Joshua Tree, California",earthquake,,1.019,,35,reviewed,ci,ci
1992-07-08T06:00:47.960Z,34.058,-116.365,2.179,2.77,mc,0,34.7,,0.258,ci,ci3038206,2016-02-10T07:43:56.947Z,"9km SE of Yucca Valley, California",earthquake,,0.233,,74,reviewed,ci,ci
1992-07-08T05:50:43.320Z,34.609,-116.643,3.414,2.54,mc,0,58.6,,0.187,ci,ci3038204,2016-02-10T14:45:15.432Z,"35km ENE of Lucerne Valley, California",earthquake,,0.252,,63,reviewed,ci,ci
1992-07-08T05:34:55.890Z,34.108,-116.968,2.143,2.66,mc,0,28.1,,0.207,ci,ci3038200,2016-02-10T11:18:51.341Z,"11km NE of Yucaipa, California",earthquake,,0.139,,75,reviewed,ci,ci
1992-07-08T04:39:19.340Z,34.104,-116.407,8.305,2.63,mc,0,34.3,,0.188,ci,ci3038180,2016-02-10T14:45:10.264Z,"3km ESE of Yucca Valley, California",earthquake,,1.151,,43,reviewed,ci,ci
1992-07-08T04:36:09.160Z,34.087,-116.969,1.823,2.71,mc,0,58.1,,0.091,ci,ci3104475,2016-02-10T21:58:38.173Z,"9km NE of Yucaipa, California",earthquake,,0.34,,19,reviewed,ci,ci
1992-07-08T04:34:18.580Z,36.6738333,-116.1771667,5.225,2.8,mh,30,276,,0.46,ci,ci3104186,2016-04-02T08:47:44.398Z,"54km NNW of Pahrump, NV",earthquake,3.15,31.61,,0,reviewed,ci,ci
1992-07-08T04:33:38.760Z,34.022,-116.346,1.727,2.63,mc,0,58.2,0.03509,0.225,ci,ci3104185,2016-02-10T14:45:08.083Z,"13km SSW of Joshua Tree, California",earthquake,,0.278,,61,reviewed,ci,ci
1992-07-08T03:47:32.620Z,34.506,-116.53,-1.348,2.52,mc,0,66.5,,0.213,ci,ci3038167,2016-02-10T18:18:43.692Z,"40km NE of Big Bear City, California",earthquake,,0.891,,55,reviewed,ci,ci
1992-07-08T03:31:29.860Z,37.862,-118.296,4.208,2.6,mc,0,279.3,,0.408,ci,ci3038158,2016-02-10T07:43:47.327Z,"54km N of Dixon Lane-Meadow Creek, California",earthquake,,,,12,reviewed,ci,ci
1992-07-08T03:02:14.690Z,34.996,-116.953,3.921,2.72,mc,0,61.8,,0.248,ci,ci3038147,2016-02-10T11:18:36.777Z,"13km NNE of Barstow, California",earthquake,,0.481,,69,reviewed,ci,ci
1992-07-08T02:23:11.330Z,34.575,-116.336,4.9,4.91,ml,0,62.3,,0.325,ci,ci3038139,2016-02-10T11:18:32.547Z,"23km SW of Ludlow, California",earthquake,,,,20,reviewed,ci,ci
1992-07-08T02:14:32.350Z,34.502,-116.53,0.254,2.99,ml,0,66.4,,0.16,ci,ci3038137,2016-02-10T21:58:30.976Z,"39km NE of Big Bear City, California",earthquake,,0.447,,21,reviewed,ci,ci
1992-07-08T01:42:41.090Z,34.559,-116.317,-1.187,2.88,mc,0,124.1,,0.217,ci,ci3104346,2016-02-10T07:43:41.122Z,"23km SW of Ludlow, California",earthquake,,1.383,,73,reviewed,ci,ci
1992-07-08T01:21:52.160Z,34.348,-116.482,-1.374,2.74,mc,0,95.6,,0.202,ci,ci3104342,2016-02-10T14:44:57.960Z,"26km N of Yucca Valley, California",earthquake,,0.798,,65,reviewed,ci,ci
1992-07-08T01:17:51.410Z,36.099,-117.846,0.873,2.54,mc,0,149.8,,0.229,ci,ci3038117,2016-02-10T14:44:55.502Z,"11km ENE of Coso Junction, California",earthquake,,0.313,,37,reviewed,ci,ci
1992-07-08T00:43:14.000Z,34.975,-116.943,-1.029,2.5,mc,0,61.9,,0.237,ci,ci3092043,2016-02-10T14:44:49.502Z,"11km NE of Barstow, California",earthquake,,0.879,,47,reviewed,ci,ci
1992-07-08T00:26:55.670Z,34.597,-116.63,3.064,2.62,mc,0,59.4,,0.171,ci,ci3038102,2016-02-10T18:18:32.986Z,"35km ENE of Lucerne Valley, California",earthquake,,0.321,,60,reviewed,ci,ci
1992-07-08T00:23:13.970Z,34.318,-116.812,-1.367,2.66,mc,0,82,,0.135,ci,ci3038101,2016-02-09T20:52:54.575Z,"7km NNE of Big Bear City, California",earthquake,,0.518,,65,reviewed,ci,ci
1992-07-08T00:01:58.070Z,34.627,-116.634,7.014,2.55,mc,0,58.9,,0.132,ci,ci3038095,2016-02-10T04:12:35.945Z,"37km NE of Lucerne Valley, California",earthquake,,0.347,,37,reviewed,ci,ci
1992-07-07T23:29:10.230Z,34.315,-116.783,-1.006,2.65,mc,0,41.1,,0.226,ci,ci3038080,2016-02-10T14:44:44.453Z,"8km NE of Big Bear City, California",earthquake,,1.043,,61,reviewed,ci,ci
1992-07-07T23:05:17.560Z,34.42,-116.536,2.23,2.98,mc,0,63.7,,0.15,ci,ci3037718,2016-02-10T04:12:31.432Z,"33km ENE of Big Bear City, California",earthquake,,0.395,,76,reviewed,ci,ci
1992-07-07T22:54:03.950Z,36.905,-116.663,4.487,2.71,mc,0,234,,0.414,ci,ci3135889,2016-02-10T14:44:40.615Z,"8km E of Beatty, Nevada",quarry blast,,,,12,reviewed,ci,ci
1992-07-07T22:40:27.840Z,34.602,-116.642,2.021,2.76,mc,0,121.8,,0.171,ci,ci3037290,2016-02-10T11:18:23.446Z,"35km ENE of Lucerne Valley, California",earthquake,,0.584,,60,reviewed,ci,ci
1992-07-07T22:29:52.890Z,36.096,-117.867,-0.374,2.6,mc,0,109.8,0.02383,0.163,ci,ci3037288,2016-02-10T07:43:24.057Z,"9km NE of Coso Junction, California",earthquake,,0.786,,37,reviewed,ci,ci
1992-07-07T22:28:38.280Z,34.281,-116.718,0.164,2.71,mc,0,116,,0.204,ci,ci3037287,2016-02-10T21:58:17.120Z,"12km E of Big Bear City, California",earthquake,,0.587,,43,reviewed,ci,ci
1992-07-07T22:21:45.470Z,34.274,-116.726,-1.209,3.08,ml,0,37.9,,0.139,ci,ci3037286,2016-02-10T04:12:26.234Z,"11km E of Big Bear City, California",earthquake,,0.326,,26,reviewed,ci,ci
1992-07-07T22:09:28.330Z,34.342,-116.468,1.386,4.42,ml,0,60.2,,0.193,ci,ci3037284,2016-02-09T20:52:49.349Z,"26km N of Yucca Valley, California",earthquake,,0.443,,23,reviewed,ci,ci
1992-07-07T21:59:34.270Z,33.954,-116.358,5.551,2.56,mc,0,37.6,,0.167,ci,ci3037277,2016-02-10T00:35:51.127Z,"13km E of Desert Hot Springs, California",earthquake,,0.53,,41,reviewed,ci,ci
1992-07-07T21:42:18.110Z,34.925,-116.898,3.071,2.62,mc,0,129.8,,0.143,ci,ci3104331,2016-02-10T04:12:22.407Z,"12km ENE of Barstow, California",earthquake,,0.752,,47,reviewed,ci,ci
1992-07-07T21:41:53.250Z,34.145,-116.405,2.09,2.68,mc,0,42.1,,0.169,ci,ci3104330,2016-02-10T21:58:13.354Z,"4km NE of Yucca Valley, California",earthquake,,0.365,,54,reviewed,ci,ci
1992-07-07T21:18:30.870Z,34.347,-116.457,1.756,2.95,mc,0,61.3,,0.147,ci,ci3104326,2016-02-10T21:58:10.655Z,"26km N of Yucca Valley, California",earthquake,,0.428,,73,reviewed,ci,ci
1992-07-07T21:01:10.840Z,33.953,-116.358,6.547,3.7,ml,0,37.8,,0.158,ci,ci3037254,2016-02-10T11:18:20.822Z,"13km E of Desert Hot Springs, California",earthquake,,0.283,,26,reviewed,ci,ci
1992-07-07T20:56:55.800Z,34.997,-116.963,6.02,2.8,mc,0,114.9,,0.184,ci,ci3104298,2016-02-10T00:35:49.097Z,"12km NNE of Barstow, California",earthquake,,1.159,,61,reviewed,ci,ci
1992-07-07T20:56:15.060Z,34.106,-116.405,3.655,2.7,mc,0,31.1,,0.178,ci,ci3104297,2016-02-10T04:12:21.109Z,"3km ESE of Yucca Valley, California",earthquake,,0.246,,65,reviewed,ci,ci
1992-07-07T20:25:03.200Z,34.609,-116.337,5.058,2.74,mc,0,82.8,,0.18,ci,ci3104291,2016-02-10T00:35:43.924Z,"20km SW of Ludlow, California",earthquake,,,,39,reviewed,ci,ci
1992-07-07T20:24:14.890Z,33.997,-116.323,1.105,2.67,mc,0,38.9,,0.194,ci,ci3104288,2016-02-10T14:44:29.213Z,"15km S of Joshua Tree, California",earthquake,,0.351,,53,reviewed,ci,ci
1992-07-07T20:22:47.670Z,34.012,-116.319,3.337,2.68,mc,0,41.7,,0.215,ci,ci3037239,2016-02-10T00:35:42.605Z,"14km S of Joshua Tree, California",earthquake,,0.196,,47,reviewed,ci,ci
1992-07-07T20:14:23.720Z,34.94,-116.922,-1.039,2.63,mc,0,61.8,0.1008,0.255,ci,ci3139561,2016-02-10T11:18:18.084Z,"10km ENE of Barstow, California",earthquake,,1.328,,43,reviewed,ci,ci
1992-07-07T20:10:16.420Z,34.018,-116.344,1.033,2.77,mc,0,106.3,,0.185,ci,ci3037233,2016-02-10T00:35:41.243Z,"13km SSW of Joshua Tree, California",earthquake,,0.357,,48,reviewed,ci,ci
